Initial.Name,bill,vote,District,Party
W. Westerfield,HB69,YEA,S3,Republican
C. Embry Jr.,HB69,YEA,S6,Republican
C. McDaniel,HB69,YEA,S23,Republican
D. Seum,HB69,YEA,S38,Republican
M. Wilson,HB69,YEA,S32,Republican
R. Girdler,HB69,YEA,S15,Republican
M. McGarvey,HB69,YEA,S19,Democratic
B. Smith,HB69,YEA,S30,Republican
M. Wise,HB69,YEA,S16,Republican
D. Givens,HB69,YEA,S9,Republican
G. Neal,HB69,NV,S33,Democratic
R. Alvarado,HB70,YEA,S28,Republican
D. Harper Angel,HB70,YEA,S35,Democratic
G. Neal,HB70,YEA,S33,Democratic
R. Stivers II,HB70,YEA,S25,Republican
J. Bowen,HB70,YEA,S8,Republican
E. Harris,HB70,YEA,S26,Republican
D. Parrett,HB70,YEA,S10,Democratic
D. Thayer,HB70,YEA,S17,Republican
T. Buford,HB70,YEA,S22,Republican
J. Higdon,HB70,YEA,S14,Republican
J. Adams,HB70,YEA,S36,Republican
R. Thomas,HB70,YEA,S13,Democratic
J. Carpenter,HB70,YEA,S34,Republican
P. Hornback,HB70,YEA,S20,Republican
D. Ridley,HB70,YEA,S4,Democratic
J. Turner,HB70,YEA,S29,Democratic
D. Carroll,HB70,YEA,S2,Republican
S. Humphries,HB70,YEA,S1,Republican
A. Robinson,HB70,YEA,S21,Republican
R. Webb,HB70,YEA,S18,Democratic
J. Carroll,HB70,YEA,S7,Democratic
R. Jones II,HB70,YEA,S31,Democratic
J. Schickel,HB70,YEA,S11,Republican
S. West,HB70,YEA,S27,Republican
P. Clark,HB70,YEA,S37,Democratic
A. Kerr,HB70,YEA,S12,Republican
W. Schroder,HB70,YEA,S24,Republican
W. Westerfield,HB70,YEA,S3,Republican
C. Embry Jr.,HB70,YEA,S6,Republican
C. McDaniel,HB70,YEA,S23,Republican
D. Seum,HB70,YEA,S38,Republican
M. Wilson,HB70,YEA,S32,Republican
R. Girdler,HB70,YEA,S15,Republican
M. McGarvey,HB70,YEA,S19,Democratic
B. Smith,HB70,YEA,S30,Republican
M. Wise,HB70,YEA,S16,Republican
D. Givens,HB70,YEA,S9,Republican
S. Meredith,HB70,YEA,S5,Republican
R. Alvarado,HB71,YEA,S28,Republican
D. Harper Angel,HB71,YEA,S35,Democratic
G. Neal,HB71,YEA,S33,Democratic
R. Stivers II,HB71,YEA,S25,Republican
J. Bowen,HB71,YEA,S8,Republican
E. Harris,HB71,YEA,S26,Republican
D. Parrett,HB71,YEA,S10,Democratic
D. Thayer,HB71,YEA,S17,Republican
T. Buford,HB71,YEA,S22,Republican
J. Higdon,HB71,YEA,S14,Republican
J. Adams,HB71,YEA,S36,Republican
R. Thomas,HB71,YEA,S13,Democratic
J. Carpenter,HB71,YEA,S34,Republican
P. Hornback,HB71,YEA,S20,Republican
D. Ridley,HB71,YEA,S4,Democratic
J. Turner,HB71,YEA,S29,Democratic
D. Carroll,HB71,YEA,S2,Republican
S. Humphries,HB71,YEA,S1,Republican
A. Robinson,HB71,YEA,S21,Republican
R. Webb,HB71,YEA,S18,Democratic
J. Carroll,HB71,YEA,S7,Democratic
R. Jones II,HB71,YEA,S31,Democratic
J. Schickel,HB71,YEA,S11,Republican
S. West,HB71,YEA,S27,Republican
P. Clark,HB71,YEA,S37,Democratic
A. Kerr,HB71,YEA,S12,Republican
W. Schroder,HB71,YEA,S24,Republican
W. Westerfield,HB71,YEA,S3,Republican
C. Embry Jr.,HB71,YEA,S6,Republican
M. McGarvey,HB71,YEA,S19,Democratic
D. Seum,HB71,YEA,S38,Republican
M. Wilson,HB71,YEA,S32,Republican
R. Girdler,HB71,YEA,S15,Republican
S. Meredith,HB71,YEA,S5,Republican
B. Smith,HB71,YEA,S30,Republican
M. Wise,HB71,YEA,S16,Republican
D. Givens,HB71,YEA,S9,Republican
C. McDaniel,HB71,NV,S23,Republican
R. Alvarado,HB74,YEA,S28,Republican
D. Harper Angel,HB74,YEA,S35,Democratic
S. Meredith,HB74,YEA,S5,Republican
R. Stivers II,HB74,YEA,S25,Republican
J. Bowen,HB74,YEA,S8,Republican
E. Harris,HB74,YEA,S26,Republican
G. Neal,HB74,YEA,S33,Democratic
D. Thayer,HB74,YEA,S17,Republican
T. Buford,HB74,YEA,S22,Republican
J. Higdon,HB74,YEA,S14,Republican
D. Parrett,HB74,YEA,S10,Democratic
R. Thomas,HB74,YEA,S13,Democratic
J. Carpenter,HB74,YEA,S34,Republican
P. Hornback,HB74,YEA,S20,Republican
J. Adams,HB74,YEA,S36,Republican
J. Turner,HB74,YEA,S29,Democratic
D. Carroll,HB74,YEA,S2,Republican
S. Humphries,HB74,YEA,S1,Republican
D. Ridley,HB74,YEA,S4,Democratic
R. Webb,HB74,YEA,S18,Democratic
